epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,71.3538,1.11266,2.69216,1.40036,0.61773,0.5598,0.59437,0.42119,1.11416,1.9401,1.39797,0.00997717,0.00332572,0.00997717,0.00332572,0.00997717,0.00332572,0.00997717,0.00332572
2,126.083,1.15163,1.94274,1.40574,0.57098,0.46591,0.48494,0.3176,1.26563,2.14608,1.46374,0.0197794,0.00659313,0.0197794,0.00659313,0.0197794,0.00659313,0.0197794,0.00659313
3,176.561,1.23446,1.96778,1.45236,0.50818,0.3953,0.40851,0.23588,1.38146,2.21811,1.61726,0.0293836,0.00979454,0.0293836,0.00979454,0.0293836,0.00979454,0.0293836,0.00979454
4,224.534,1.28857,1.99532,1.48973,0.51173,0.41502,0.41914,0.25562,1.35362,2.06477,1.58083,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,271.089,1.24917,1.88136,1.46576,0.60581,0.46207,0.50758,0.32881,1.27526,1.85201,1.51853,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,316.09,1.20938,1.78392,1.4366,0.62924,0.52172,0.55561,0.35822,1.19968,1.68184,1.44482,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,360.86,1.19071,1.70134,1.42037,0.6134,0.5152,0.56005,0.37909,1.20083,1.68877,1.44076,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,407.189,1.15884,1.64471,1.39975,0.67639,0.54926,0.62414,0.43812,1.10959,1.5064,1.36081,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,456.144,1.13491,1.59737,1.38509,0.66741,0.57359,0.63128,0.44226,1.09663,1.53048,1.36444,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,502.449,1.11369,1.55588,1.36548,0.68064,0.5878,0.64408,0.44668,1.10817,1.47867,1.37735,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,549.902,1.10808,1.53102,1.36728,0.72493,0.59275,0.67988,0.48518,1.04669,1.41431,1.31688,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,599.852,1.08656,1.48846,1.35061,0.67532,0.58379,0.63613,0.44374,1.06579,1.48739,1.33825,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,649.443,1.06673,1.45243,1.33512,0.71134,0.61061,0.68389,0.49357,1.0265,1.37444,1.31664,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,698.652,1.06445,1.44288,1.33203,0.7141,0.62143,0.68974,0.5001,1.00594,1.33677,1.27979,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,745.222,1.05008,1.40669,1.31946,0.74088,0.61771,0.70495,0.51731,1.00945,1.32914,1.29122,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,792.11,1.04136,1.39467,1.31868,0.72197,0.62019,0.69513,0.51194,1.01327,1.3356,1.29567,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,840.887,1.0326,1.36988,1.30994,0.73482,0.61712,0.6964,0.51784,1.00757,1.32287,1.28968,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,890.454,1.01888,1.34849,1.29681,0.74486,0.62133,0.71097,0.52931,0.97359,1.27232,1.25609,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,938.763,1.01231,1.33547,1.29407,0.73334,0.64593,0.72114,0.5452,0.96265,1.2538,1.26345,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,987.544,0.99476,1.30903,1.28161,0.77105,0.62908,0.7286,0.55096,0.94501,1.21196,1.2383,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1036.57,0.99461,1.30099,1.28354,0.78202,0.64907,0.74207,0.56409,0.92715,1.19343,1.22793,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1086.96,0.98526,1.28178,1.27594,0.77769,0.65107,0.74404,0.56796,0.92572,1.18084,1.21463,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1133,0.97926,1.26922,1.27174,0.76952,0.65337,0.74742,0.56585,0.92768,1.19303,1.22261,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1180.94,0.96958,1.25766,1.26909,0.75103,0.66669,0.75003,0.57372,0.93074,1.19011,1.23356,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1231.42,0.96776,1.24182,1.26231,0.7814,0.65708,0.75096,0.57329,0.91874,1.18177,1.21688,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1281.35,0.96399,1.23907,1.25922,0.76726,0.67382,0.75951,0.58186,0.90653,1.16711,1.20972,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1330.31,0.9545,1.22151,1.25593,0.7672,0.6753,0.76277,0.58288,0.91382,1.14627,1.21382,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1378.7,0.94981,1.21202,1.25119,0.79361,0.68,0.76718,0.58906,0.90971,1.13342,1.212,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1426.73,0.94298,1.19751,1.24902,0.79022,0.66465,0.76715,0.59278,0.88816,1.11959,1.19388,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1475.71,0.93303,1.18428,1.2389,0.7969,0.67746,0.77525,0.60179,0.89128,1.11927,1.19711,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1524.42,0.94152,1.18858,1.2398,0.81822,0.67188,0.77884,0.60265,0.89242,1.1174,1.20045,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1573.1,0.92475,1.16821,1.23747,0.78565,0.69218,0.7771,0.60537,0.8804,1.1081,1.19102,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1622.65,0.92666,1.16242,1.23303,0.78425,0.6968,0.77954,0.60772,0.8778,1.09816,1.18515,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1671.49,0.92197,1.15887,1.2315,0.79481,0.70303,0.78622,0.61765,0.8621,1.0676,1.17435,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1720.13,0.91391,1.14296,1.2259,0.80025,0.69757,0.78474,0.62006,0.8687,1.06531,1.17616,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1768.13,0.90947,1.13306,1.22285,0.79984,0.70166,0.78881,0.62415,0.85728,1.06219,1.1735,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1815.46,0.90138,1.12286,1.21749,0.81165,0.70245,0.79661,0.6346,0.84556,1.04063,1.16057,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1863.02,0.90184,1.12301,1.22063,0.80232,0.71242,0.80077,0.63711,0.85246,1.03904,1.16801,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1911.6,0.89571,1.11103,1.21408,0.80643,0.71337,0.80121,0.64184,0.8335,1.03707,1.15561,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1958.85,0.89295,1.0963,1.20859,0.82478,0.70917,0.80416,0.64062,0.8329,1.02463,1.15611,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2007.74,0.88952,1.09399,1.20785,0.82602,0.7201,0.81088,0.64883,0.82821,1.01177,1.14808,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2056.7,0.88688,1.08615,1.20385,0.82248,0.71731,0.80944,0.64654,0.82855,1.01046,1.14755,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2105.26,0.88648,1.08267,1.20453,0.82134,0.71362,0.80418,0.64039,0.82763,1.00738,1.14759,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2154.33,0.88265,1.07085,1.20252,0.82077,0.72354,0.80889,0.64791,0.82822,1.00043,1.14591,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2202.79,0.87443,1.06078,1.19831,0.8273,0.72207,0.81408,0.6534,0.82333,0.99359,1.1501,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2249.49,0.87659,1.06076,1.19509,0.82827,0.71895,0.81147,0.65322,0.82339,0.99606,1.14573,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2297.57,0.86864,1.05621,1.19156,0.83905,0.71206,0.81615,0.65696,0.82364,0.97865,1.14337,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2346.46,0.86068,1.03789,1.18803,0.83044,0.72341,0.81957,0.66305,0.81654,0.97657,1.14171,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2394.71,0.85989,1.04382,1.18643,0.82994,0.71643,0.8139,0.6614,0.81319,0.98677,1.13672,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2443.88,0.85892,1.02753,1.18643,0.81942,0.72997,0.81561,0.66245,0.80683,0.97481,1.13381,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2492.72,0.85741,1.02422,1.1804,0.82356,0.73058,0.8189,0.66366,0.80442,0.96553,1.13172,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2541.98,0.85143,1.01945,1.18232,0.83215,0.73027,0.82133,0.66868,0.80073,0.95604,1.1308,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2590.58,0.85505,1.01368,1.18026,0.83505,0.73015,0.82077,0.66722,0.80413,0.96125,1.13006,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2639.24,0.84532,1.00587,1.17623,0.85296,0.72031,0.82462,0.67045,0.80135,0.95854,1.12761,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2686.36,0.84864,0.99753,1.17702,0.82614,0.74146,0.82928,0.67601,0.79308,0.93501,1.12269,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2734.77,0.84095,0.99257,1.17218,0.83791,0.73496,0.83047,0.67548,0.79237,0.93662,1.1208,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2784.94,0.83223,0.98945,1.16891,0.85309,0.73552,0.83194,0.67481,0.79533,0.93924,1.12406,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2833.69,0.8306,0.97492,1.16383,0.84551,0.74137,0.83135,0.67891,0.79347,0.93021,1.12065,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2883.13,0.83114,0.97309,1.16542,0.8385,0.74261,0.83342,0.68176,0.78618,0.92613,1.11888,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2931.82,0.81903,0.96451,1.16067,0.84407,0.74479,0.83534,0.6831,0.78556,0.91864,1.11579,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2977.98,0.82602,0.95592,1.1581,0.82618,0.75197,0.83541,0.68665,0.78261,0.91475,1.11069,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3023.91,0.81692,0.95803,1.15558,0.83142,0.75408,0.83521,0.68946,0.78056,0.91093,1.11105,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3072.25,0.81105,0.94672,1.1545,0.83858,0.7482,0.83798,0.68741,0.77852,0.90694,1.11156,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3121.17,0.81362,0.94247,1.15255,0.83265,0.75291,0.83495,0.68771,0.7786,0.9089,1.1097,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3169.74,0.81672,0.94604,1.15462,0.84165,0.75308,0.8384,0.6898,0.77347,0.90389,1.10811,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3219.21,0.80635,0.93962,1.15038,0.84321,0.75515,0.84053,0.69106,0.77041,0.89323,1.10499,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3267.13,0.80677,0.92895,1.14573,0.85034,0.74482,0.8402,0.69113,0.76922,0.88944,1.10264,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3315.45,0.80052,0.92067,1.14739,0.84663,0.75514,0.84289,0.69276,0.76824,0.88832,1.10361,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3364.48,0.80036,0.91479,1.14308,0.83668,0.75741,0.84065,0.6954,0.76704,0.88351,1.10367,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3413.06,0.79875,0.91608,1.1438,0.83814,0.76444,0.84318,0.69736,0.76437,0.88002,1.10282,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3461.55,0.79284,0.90448,1.13906,0.84073,0.75986,0.84461,0.69999,0.76273,0.87796,1.10156,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3510.39,0.79672,0.90592,1.14067,0.8537,0.75694,0.84087,0.69847,0.76417,0.87544,1.10027,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3559.18,0.79157,0.89908,1.13968,0.84778,0.7607,0.84401,0.70064,0.76077,0.87258,1.09937,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3607.95,0.78359,0.88406,1.1296,0.85622,0.76068,0.84548,0.7017,0.75602,0.87015,1.09309,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
